,,,
"Información general:"
"Votos blancos:",978380
"Votos nulos:",800897
"Censo total:",34631581
"Votos correctos:",24869217
"Porcentaje escrutado:",9991
Abstenciones:,9731126

Escrutinio:
Partido,Sigla,Votos,escaños
"AGRUPACIÓN SOCIALISTA GOMERA",ASG,4435,1
"BADAJOZ ADELANTE","BADAJOZ ADELANTE",4014,0
"BLOQUE ARAGONÉS",BAR,1179,0
"CIUDADANOS DE CENTRO DEMOCRÁTICO",CCD,20073,0
"CIUDADANOS LIBRES UNIDOS",CILUS,3139,0
"CIUDADANOS RURALES AGRUPADOS",CRA,1606,0
"CIUDADANOS-PARTIDO DE LA CIUDADANÍA",C's,7377905,0
"DEMOCRACIA NACIONAL",DN,4411,0
"EL PI - PROPOSTA PER LES ILLES","EL PI",30480,0
"ESCAÑOS EN BLANCO",EB,88418,0
"EUSKAL HERRIA BILDU","EH Bildu",562657,0
"EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO",EAJ-PNV,905029,6
"FALANGE ESPAÑOLA DE LAS J.O.N.S.","FE de las JONS",37772,0
"FAMILIA Y VIDA",PFyV,1568,0
"FORO DEMÓCRATA",FDEE,1212,0
"INICIATIVA FEMINISTA",IFem,5538,0
"INICIATIVA MERINDADES DE CASTILLA",IMC,1210,0
"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Ln,5665,0
"LOS VERDES-ECOPACIFISTAS","CENTRO MODERADO",9365,0
"NOSOTROS Y TU, PARTIDO POLÍTICO",NOSOTROS,1581,0
"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL",PACMA,1034488,0
"PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA",PCPE,105025,0
"PARTIDO DA TERRA",PT,9820,0
"PARTIDO HUMANISTA",PH,10996,0
"PARTIDO LIBERTARIO",P-LIB,7746,0
"PARTIDO POPULAR",PP,19792225,124
"PARTIDO REGIONALISTA DEL PAÍS LEONES",PREPAL,9712,0
"PARTIDO SOCIALISTA OBRERO ESPAÑOL",PSOE,15088727,47
PODEMOS,PODEMOS,7448351,9
"POR UN MUNDO MÁS JUSTO",PUM+J,19849,0
"SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA",SAIn,18269,0
SOLUCIONA,SOLUCIONA,1566,0
"SOM VALENCIANS",SOMVAL,19891,0
"UNIÓ DEMOCRÀTICA DE CATALUNYA",unio.cat,153272,0
"UNIÓN PROGRESO Y DEMOCRACIA",UPYD,615375,0
VOX,VOX,194723,0
"ANDALUCES DE JAÉN UNIDOS",AJU,1815,0
"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y ALTERNATIVA REPUBLICANA","CANARIAS DECIDE",6328,0
"UNIDOS POR GRAN CANARIA",UxGC,5880,0
"COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO",CCa-PNC,156593,1
"ARA, PAÍS VALENCIÀ",ARAPV,7820,0
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN",IU-UPeC,2361081,0
"EXTREMADURA UNIDA-EXTREMEÑOS",EU-eX,9951,0
"RECORTES CERO-GRUPO VERDE","RECORTES CERO-GRUPO VERDE",173010,0
"SOM MENORCA","SOM MENORCA",4122,0
"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA","JS,PC",1392,0
CAMBIO-ALDAKETA,CAMBIO-ALDAKETA,282155,1
MÉS,MÉS,60402,0
"DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES. REAGRUPAMENT",DL,1526785,6
"COMPROMÍS-PODEMOS-ÉS EL MOMENT",PODEMOS-COMPROMÍS,1727484,1
"AVANT VALENCIANS",AVANT,4923,0
"NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)",NÓS,276290,0
"EN COMÚ PODEM","EN COMÚ",2013288,4
"EN MAREA","PODEMOS-En Marea-ANOVA-EU",981787,2
"OURENSE POLA ESQUERDA",ESQ,978,0
"EN POSITIU","EN POSITIU",4547,0
"INDEPENDIENTES POR ARAGÓN",Independientes-FIA,2697,0
"ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ",ERC-CATSI,1878596,6
