,,,
"Información general:"
"Votos blancos:",187771
"Votos nulos:",226997
"Censo total:",34631581
"Votos correctos:",25350447
"Porcentaje escrutado:",10000
Abstenciones:,9280639

Escrutinio:
Partido,Sigla,Votos,escaños
"CIUDADANOS DE CENTRO DEMOCRÁTICO",CCD,10805,0
PODEMOS,PODEMOS,3182082,42
"CIUDADANOS RURALES AGRUPADOS",CRA,1027,0
"CIUDADANOS-PARTIDO DE LA CIUDADANÍA",C's,3500541,40
"DEMOCRACIA NACIONAL",DN,1685,0
"EL PI - PROPOSTA PER LES ILLES","EL PI",12902,0
"ESCAÑOS EN BLANCO",EB,10060,0
"EUSKAL HERRIA BILDU","EH Bildu",218467,2
"EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO",EAJ-PNV,301585,6
"FALANGE ESPAÑOLA DE LAS J.O.N.S.","FE de las JONS",7594,0
"FAMILIA Y VIDA",PFyV,714,0
"FORO DEMÓCRATA",FDEE,454,0
"INICIATIVA FEMINISTA",IFem,1594,0
"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Ln,1022,0
"LOS VERDES-ECOPACIFISTAS","CENTRO MODERADO",3254,0
"MUERTE AL SISTEMA",+MAS+,309,0
"MÁLAGA POR SÍ",mlgXSÍ,924,0
"ONGI ETORRI",OE,110,0
"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL",PACMA,219191,0
"PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA",PCPE,30897,0
"PARTIDO COMUNISTA OBRERO ESPAÑOL",PCOE,1906,0
"PARTIDO DA TERRA",PT,2957,0
"PARTIDO HUMANISTA",PH,2908,0
"PARTIDO LIBERTARIO",P-LIB,2833,0
"PARTIDO POPULAR",PP,7215752,123
"PARTIDO REGIONALISTA DEL PAÍS LEONES",PREPAL,1363,0
"PARTIDO SOCIALISTA OBRERO ESPAÑOL",PSOE,5530779,90
"POR UN MUNDO MÁS JUSTO",PUM+J,4533,0
"SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA",SAIn,4516,0
SOLUCIONA,SOLUCIONA,406,0
"SOM VALENCIANS",SOMVAL,6084,0
"UNIÓ DEMOCRÀTICA DE CATALUNYA",unio.cat,64726,0
"UNIÓN PROGRESO Y DEMOCRACIA",UPYD,153505,0
VOX,VOX,57753,0
"PARTIDO LIBERAL DE DERECHAS",PLD,204,0
"ANDALUCES DE JAÉN UNIDOS",AJU,771,0
"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y ALTERNATIVA REPUBLICANA","CANARIAS DECIDE",2874,0
"GEROA BAI",GBAI,30554,0
"COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO",CCa-PNC,81750,1
"ARA, PAÍS VALENCIÀ",ARAPV,2487,0
"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN",IU-UPeC,923133,2
"EXTREMADURA UNIDA-EXTREMEÑOS",EU-eX,1995,0
"RECORTES CERO-GRUPO VERDE","RECORTES CERO-GRUPO VERDE",48222,0
"X LA IZQUIERDA-LOS VERDES","X LA IZQUIERDA-LOS VERDES",7342,0
"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA","JS,PC",405,0
MÉS,MÉS,33931,0
"DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES. REAGRUPAMENT",DL,565501,8
"COMPROMÍS-PODEMOS-ÉS EL MOMENT",PODEMOS-COMPROMÍS,671071,9
"AVANT VALENCIANS",AVANT,1001,0
"NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)",NÓS,70464,0
"EN COMÚ PODEM","EN COMÚ",927940,12
"EN MAREA","PODEMOS-En Marea-ANOVA-EU",408370,6
"EN POSITIU","EN POSITIU",1276,0
"INDEPENDIENTES POR ARAGÓN",Independientes-FIA,673,0
"ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ",ERC-CATSI,599289,9
