,,,
"Información general:"
"Censo total:",34597038
"Porcentaje escrutado:",10000
"Votos correctos:",24161083
Abstenciones:,10435955
"Votos blancos:",178521
"Votos nulos:",225888

Escrutinio:
Partido,Sigla,Votos,escaños
"PARTIDO POPULAR",PP,7906185,137
"PARTIDO SOCIALISTA OBRERO ESPAÑOL",PSOE,5424709,85
"UNIDOS PODEMOS",PODEMOS-IU-EQUO,3201170,45
"CIUDADANOS-PARTIDO DE LA CIUDADANÍA",C's,3123769,32
"EN COMÚ PODEM-GUANYEM EL CANVI",ECP,848526,12
"COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA",PODEMOS-COMPROMÍS-EUPV,655895,9
"ESQUERRA REPUBLICANA/CATALUNYA SÍ",ERC-CATSÍ,629294,9
"CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA",CDC,481839,8
"EN MAREA","PODEMOS-EN MAREA-ANOVA-EU",344143,5
"EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO",EAJ-PNV,286215,5
"EUSKAL HERRIA BILDU","EH Bildu",184092,2
"COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO",CCa-PNC,78080,1
"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL",PACMA,284848,0
"RECORTES CERO-GRUPO VERDE","RECORTES CERO-GRUPO VERDE",51742,0
"UNIÓN PROGRESO Y DEMOCRACIA",UPyD,50282,0
VOX,VOX,46781,0
"BNG-NÓS CANDIDATURA GALEGA",BNG-NÓS,44902,0
"PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA",PCPE,26553,0
"GEROA BAI",GBAI,14289,0
"ESCAÑOS EN BLANCO",EB,12024,0
"FALANGE ESPAÑOLA DE LAS JONS","FE de las JONS",9862,0
"SOBIRANIA PER A LES ILLES",SI,7413,0
"SOM VALENCIANS",SOMVAL,6612,0
"CIUDADANOS DE CENTRO DEMOCRÁTICO",CCD,6264,0
"PARTIDO HUMANISTA",PH,3288,0
"SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA",SAIn,3221,0
"PARTIDO LIBERTARIO",P-LIB,3103,0
"LOS VERDES-ECOPACIFISTAS","CENTRO MODERADO",2986,0
"CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEPENDIENTE",CCD-CI,2668,0
"UNIÓN DEL PUEBLO LEONÉS",UPL,2307,0
"PARTIDO COMUNISTA OBRERO ESPAÑOL",PCOE,1812,0
"PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLOS",AND,1695,0
"JUNTOS POR CANARIAS",JXC,1184,0
"IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA",IZAR,854,0
"CIUDADANOS LIBRES UNIDOS",CILUS,847,0
"FAMILIA Y VIDA",PFyV,838,0
"PLATAFORMA PER CATALUNYA",PxC,722,0
"MOVIMIENTO ARAGONÉS SOCIAL",MAS,718,0
"UNIDAD DEL PUEBLO","UNIDAD DEL PUEBLO",684,0
"PARTIDO REGIONALISTA DEL PAÍS LEONÉS",PREPAL,640,0
"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Ln,617,0
"RENOVACIO POLITICA",REPO,569,0
"INDEPENDIENTES POR ARAGÓN",INDEPENDIENTES-FIA,556,0
"INICIATIVA MERINDADES DE CASTILLA",IMC,351,0
"LA FUERZA DE LOS MAYORES DE ESPAÑA",FME,338,0
"PARTIDO UNIONISTA ESTADO DE ESPAÑA",PUEDE,330,0
ENTABAN,ENTABAN,257,0
"LA FALANGE",FE,254,0
"ALIANZA DE CENTRO DEMOCRÁTICO",ALCD,210,0
"HEGOALDE RIOJA-LIBERTAD NAVARRA",HRTS-Ln,82,0
"UNIÓN DE TODOS",UDT,54,0
