,,,
"Información general:"
"Censo total:",34596187
"Porcentaje escrutado:",9965
"Votos correctos:",23799958
Abstenciones:,10676844
"Votos blancos:",562688
"Votos nulos:",603536

Escrutinio:
Partido,Sigla,Votos,escaños
"PARTIDO POPULAR",PP,0,130
"PARTIDO SOCIALISTA OBRERO ESPAÑOL",PSOE,0,43
"ESQUERRA REPUBLICANA/CATALUNYA SÍ",ERC-CATSÍ,0,10
"UNIDOS PODEMOS",PODEMOS-IU-EQUO,0,8
"EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO",EAJ-PNV,0,5
"EN COMÚ PODEM-GUANYEM EL CANVI",ECP,0,4
"COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA",PODEMOS-COMPROMÍS-EUPV,0,3
"CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA",CDC,0,2
"EN MAREA","PODEMOS-EN MAREA-ANOVA-EU",0,1
"AGRUPACIÓN SOCIALISTA GOMERA",ASG,0,1
"COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO",CCa-PNC,0,1
"ALIANZA DE CENTRO DEMOCRÁTICO",ALCD,0,0
"BADAJOZ ADELANTE","BADAJOZ ADELANTE",0,0
"BNG-NÓS CANDIDATURA GALEGA",BNG-NÓS,0,0
"CIUDADANOS DE CENTRO DEMOCRÁTICO",CCD,0,0
"CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEPENDIENTE",CCD-CI,0,0
"LOS VERDES-ECOPACIFISTAS","CENTRO MODERADO",0,0
"CIUDADANOS LIBRES UNIDOS",CILUS,0,0
"CIUDADANOS-PARTIDO DE LA CIUDADANÍA",C's,0,0
"ESCAÑOS EN BLANCO",EB,0,0
"EUSKAL HERRIA BILDU","EH Bildu",0,0
ENTABAN,ENTABAN,0,0
"LA FALANGE",FE,0,0
"FALANGE ESPAÑOLA DE LAS JONS","FE de las JONS",0,0
"GEROA BAI",GBAI,0,0
"HEGOALDE RIOJA-LIBERTAD NAVARRA",HRTS-Ln,0,0
"INICIATIVA MERINDADES DE CASTILLA",IMC,0,0
"INDEPENDIENTES POR ARAGÓN",INDEPENDIENTES-FIA,0,0
"JUNTOS POR CANARIAS",JXC,0,0
"LIBERTAD NAVARRA, LIBERTATE NAFARRA",Ln,0,0
"MOVIMIENTO ARAGONÉS SOCIAL",MAS,0,0
"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL",PACMA,0,0
"PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA",PCPE,0,0
"FAMILIA Y VIDA",PFyV,0,0
"PARTIDO HUMANISTA",PH,0,0
"PARTIDO LIBERTARIO",P-LIB,0,0
"PARTIDO REGIONALISTA DEL PAÍS LEONÉS",PREPAL,0,0
"PLATAFORMA PER CATALUNYA",PxC,0,0
"RECORTES CERO-GRUPO VERDE","RECORTES CERO-GRUPO VERDE",0,0
"RENOVACIO POLITICA",REPO,0,0
"SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA",SAIn,0,0
"SOBIRANIA PER A LES ILLES",SI,0,0
"SOM VALENCIANS",SOMVAL,0,0
"UNIÓN DE TODOS",UDT,0,0
"UNIDAD DEL PUEBLO","UNIDAD DEL PUEBLO",0,0
"UNIÓN DEL PUEBLO LEONÉS",UPL,0,0
"UNIÓN PROGRESO Y DEMOCRACIA",UPyD,0,0
VOX,VOX,0,0
