,attendance,team1,team2,year,home,lat,long
0,25000,Italy,USA,1934,Italy,41.926953000000005,12.472197
1,16000,Austria,France,1934,Italy,45.066251,7.691228
2,8000,Germany,Belgium,1934,Italy,44.275234000000005,11.722625
3,9000,Czechoslovakia,Romania,1934,Italy,45.62243,13.792906
4,33000,Switzerland,Netherlands,1934,Italy,45.478124,9.123961999999999
5,14000,Sweden,Argentina,1934,Italy,44.494887,11.3426163
6,21000,Spain,Brazil,1934,Italy,44.416409,8.952494999999999
7,9000,Hungary,Egypt,1934,Italy,40.631067,14.408605999999999
8,23000,Austria,Hungary,1934,Italy,44.494887,11.3426163
9,12000,Czechoslovakia,Switzerland,1934,Italy,45.066251,7.691228
10,15000,Germany,Sweden,1934,Italy,45.478124,9.123961999999999
11,35000,Italy,Spain,1934,Italy,44.275234000000005,11.722625
12,43000,Italy,Spain,1934,Italy,44.275234000000005,11.722625
13,60000,Italy,Austria,1934,Italy,45.478124,9.123961999999999
14,15000,Czechoslovakia,Germany,1934,Italy,41.926953000000005,12.472197
15,7000,Germany,Austria,1934,Italy,40.631067,14.408605999999999
16,50000,Italy,Czechoslovakia,1934,Italy,41.926953000000005,12.472197
17,34107,Sweden,Mexico,1958,Sweden,59.36666700000001,17.9833329
18,31156,FRG,Argentina,1958,Sweden,55.58606700000001,12.989247
19,10647,Northern Ireland,Czechoslovakia,1958,Sweden,56.68418199999999,12.867464
20,16518,France,Paraguay,1958,Sweden,58.58441,16.171553
21,9591,Yugoslavia,Scotland,1958,Sweden,59.6200341,16.537894400000003
22,15343,Hungary,Wales,1958,Sweden,60.60904,16.770892
23,49348,England,Soviet Union,1958,Sweden,57.705913,11.98723
24,17778,Brazil,Austria,1958,Sweden,58.356336,11.949346
25,31156,FRG,Czechoslovakia,1958,Sweden,56.049839,12.700389999999999
26,14174,Argentina,Northern Ireland,1958,Sweden,56.68418199999999,12.867464
27,11665,Paraguay,Scotland,1958,Sweden,58.58441,16.171553
28,12217,Yugoslavia,France,1958,Sweden,59.6200341,16.537894400000003
29,15150,Wales,Mexico,1958,Sweden,59.36666700000001,17.9833329
30,40895,Brazil,England,1958,Sweden,57.705913,11.98723
31,21239,Soviet Union,Austria,1958,Sweden,57.73571999999999,12.934914
32,38850,Sweden,Hungary,1958,Sweden,59.36666700000001,17.9833329
33,30287,Sweden,Wales,1958,Sweden,59.36666700000001,17.9833329
34,21990,FRG,Northern Ireland,1958,Sweden,55.58606700000001,12.989247
35,16418,Czechoslovakia,Argentina,1958,Sweden,56.049839,12.700389999999999
36,13554,France,Scotland,1958,Sweden,59.266051000000004,15.221614
37,13103,Yugoslavia,Paraguay,1958,Sweden,59.370709,16.49502
38,13310,Hungary,Mexico,1958,Sweden,60.60904,16.770892
39,50928,Brazil,Soviet Union,1958,Sweden,57.705913,11.98723
40,15872,England,Austria,1958,Sweden,57.73571999999999,12.934914
41,6196,Northern Ireland,Czechoslovakia,1958,Sweden,55.58606700000001,12.989247
42,2823,Wales,Hungary,1958,Sweden,59.36666700000001,17.9833329
43,23182,Soviet Union,England,1958,Sweden,57.705913,11.98723
44,31900,Sweden,Soviet Union,1958,Sweden,59.36666700000001,17.9833329
45,20055,FRG,Yugoslavia,1958,Sweden,55.58606700000001,12.989247
46,11800,France,Northern Ireland,1958,Sweden,58.58441,16.171553
47,25923,Brazil,Wales,1958,Sweden,57.705913,11.98723
48,49471,Sweden,FRG,1958,Sweden,57.705913,11.98723
49,27100,Brazil,France,1958,Sweden,59.36666700000001,17.9833329
50,32482,France,FRG,1958,Sweden,57.705913,11.98723
51,49737,Brazil,Sweden,1958,Sweden,59.36666700000001,17.9833329
52,95000,Argentina,Belgium,1982,Spain,41.380896,2.12282
53,22000,Italy,Poland,1982,Spain,42.211946999999995,-8.73973
54,50000,Brazil,Soviet Union,1982,Spain,37.384066,-5.97069
55,15000,Peru,Cameroon,1982,Spain,43.36872,-8.417484
56,23000,Hungary,El Salvador,1982,Spain,38.278535999999995,-0.707856
57,22000,Scotland,New Zealand,1982,Spain,36.7355448,-4.426569000000001
58,25000,FRG,Algeria,1982,Spain,43.538897999999996,-5.645742
59,44172,England,France,1982,Spain,43.263513,-2.948131
60,49562,Spain,Honduras,1982,Spain,22.164824499999998,-101.0045432
61,22000,Chile,Austria,1982,Spain,43.360742,-5.870283000000001
62,12000,Czechoslovakia,Kuwait,1982,Spain,41.644608000000005,-4.761273
63,18000,Yugoslavia,Northern Ireland,1982,Spain,41.6350994,-0.8985066999999999
64,25000,Italy,Peru,1982,Spain,42.211946999999995,-8.73973
65,32093,Argentina,Hungary,1982,Spain,38.357446,-0.492724
66,47379,Brazil,Scotland,1982,Spain,37.356504,-5.981751999999999
67,12000,Poland,Cameroon,1982,Spain,43.36872,-8.417484
68,6000,Belgium,El Salvador,1982,Spain,38.278535999999995,-0.707856
69,17000,Soviet Union,New Zealand,1982,Spain,36.7355448,-4.426569000000001
70,40000,FRG,Chile,1982,Spain,43.538897999999996,-5.645742
71,44182,England,Czechoslovakia,1982,Spain,43.263513,-2.948131
72,47500,Spain,Yugoslavia,1982,Spain,22.164824499999998,-101.0045432
73,22000,Algeria,Austria,1982,Spain,43.360742,-5.870283000000001
74,30043,France,Kuwait,1982,Spain,41.644608000000005,-4.761273
75,15000,Honduras,Northern Ireland,1982,Spain,41.6350994,-0.8985066999999999
76,16000,Poland,Peru,1982,Spain,43.36872,-8.417484
77,22000,Belgium,Hungary,1982,Spain,38.278535999999995,-0.707856
78,30000,Soviet Union,Scotland,1982,Spain,36.7355448,-4.426569000000001
79,17000,Italy,Cameroon,1982,Spain,42.211946999999995,-8.73973
80,18000,Argentina,El Salvador,1982,Spain,38.357446,-0.492724
